,Latent Factor 1,Latent Factor 2,Latent Factor 3,Latent Factor 4,Latent Factor 5,Latent Factor 6,Latent Factor 7
110,7.167663,4.3260994,2.2499123,5.6281395,5.896314,2.396018,2.6168623
111,7.792945,2.6650822,1.1474144,6.9224334,6.6782236,2.339478,3.4419255
112,7.8489194,6.0289598,4.1074877,4.635646,4.7332034,3.4415672,2.232106
113,6.8197107,3.3624592,0.7289676,6.022142,6.304107,0.94757426,1.3666648
114,7.531195,5.4865146,3.3187895,5.094659,5.081147,2.8682158,2.5661814
115,7.6389146,2.9109328,2.3011365,7.1113024,8.617209,3.1428628,4.1560006
116,7.1388006,3.2995148,1.748197,6.9840183,8.260892,2.5773356,4.045997
117,6.9908333,3.3962617,0.2718989,5.746484,6.062537,0.5257272,0.95623744
118,6.0771017,6.312568,2.985822,4.168683,4.7187033,2.842562,3.3160076
119,8.249098,4.675279,3.9881313,5.463792,5.6046205,3.6159708,2.4869041
120,6.021036,6.0783587,2.6393065,4.355052,4.6352625,2.8595865,3.1893022
121,1.8381143,6.580685,1.2470574,2.212681,4.4280787,2.572229,5.346204
122,8.159249,5.43948,4.116908,5.0361,5.0844464,3.502292,2.2726169
123,5.8273973,6.173918,2.64136,4.1830397,4.609125,2.8269777,3.352352
124,6.2011757,6.139704,2.9234123,4.2067995,4.631641,2.7995648,3.219356
125,7.470844,2.9215865,1.9773917,7.1492114,8.613902,2.9362013,4.23194
126,8.045055,4.524707,3.1524355,5.904217,5.757103,2.8156734,2.2759051
127,7.276737,3.037067,1.7330855,7.1179476,8.426758,2.7212245,4.2002606
128,7.8773336,4.217714,2.8960693,6.0138693,5.9942994,2.709968,2.415147
129,8.080859,3.9982061,3.1555388,6.1062665,6.173509,3.0210648,2.5015419
130,7.8486276,4.0116405,2.7723134,6.1198926,6.1546526,2.7267427,2.4873736
131,7.1237774,4.650022,2.4199984,5.4436545,5.653274,2.4517322,2.6292255
132,7.6385508,4.437896,2.8075464,5.723035,5.797664,2.6779082,2.490698
133,8.020038,5.572028,3.7806125,5.116018,5.0249667,3.1589565,2.2445376
134,7.6799617,6.038448,3.9384432,4.643961,4.6296296,3.1920733,2.3284185
135,7.6196313,3.0069149,1.8281906,6.950218,7.5116024,2.6886961,3.6704578
